id,statement,answer,explanation,topic
1,"태양은 동쪽에서 떠서 서쪽으로 진다.",O,"지구의 자전 방향(서→동) 때문에 천체는 동→서로 이동하는 것처럼 보인다.",과학
2,"지구는 태양 주위를 약 365일에 한 번 돈다.",O,"이를 공전 주기(1년)라 하며 정확히는 365.2422일이다.",과학
3,"달은 스스로 빛을 낸다.",X,"달은 태양빛을 반사할 뿐 스스로 빛을 내지 않는다.",과학
4,"물의 끓는점은 표준대기압에서 100°C이다.",O,"1기압(101.325kPa) 기준이며 기압이 낮아지면 끓는점도 낮아진다.",과학
5,"얼음은 물보다 밀도가 높다.",X,"얼음은 물보다 밀도가 낮아 물 위에 뜬다 — 매우 드문 물질 중 하나.",과학
6,"빛의 속도는 소리의 속도보다 느리다.",X,"빛은 약 30만 km/s, 소리는 약 0.34 km/s — 빛이 약 88만 배 빠르다.",과학
7,"인간의 정상 체온은 약 36.5°C이다.",O,"개인차가 있으나 35.5~37.2°C 범위가 일반적이다.",과학
8,"심장은 왼쪽 가슴에만 있다.",X,"심장은 가슴 중앙에서 약간 왼쪽으로 치우쳐 있다 — 완전히 왼쪽은 아니다.",과학
9,"성인의 뼈는 약 206개이다.",O,"신생아는 약 270개로 시작해 자라면서 일부가 융합되어 206개가 된다.",과학
10,"인간의 DNA는 23쌍의 염색체에 들어 있다.",O,"22쌍의 상염색체와 1쌍의 성염색체로 총 46개.",과학
11,"산소는 화학기호 O로 표기한다.",O,"라틴어 'Oxygenium'에서 유래.",과학
12,"금의 화학기호는 G이다.",X,"금의 화학기호는 Au (라틴어 Aurum).",과학
13,"다이아몬드는 탄소로만 이루어져 있다.",O,"탄소 원자가 정사면체 결정구조로 결합된 것.",과학
14,"음속은 물 속에서 공기보다 빠르다.",O,"공기 약 343m/s, 물 약 1480m/s — 매질의 밀도가 높을수록 빠르다.",과학
15,"중력은 지구의 모든 곳에서 정확히 같다.",X,"위도와 고도에 따라 약간씩 다르다 — 적도가 극지방보다 약 0.5% 작다.",과학
16,"한국의 수도는 서울이다.",O,"1392년 조선 건국 이후 600년 이상 수도.",지리
17,"한라산은 제주도에 있다.",O,"높이 1,947m로 남한 최고봉.",지리
18,"백두산은 한국과 중국 국경에 있다.",O,"공식적으로는 북한과 중국 국경.",지리
19,"한반도의 가장 긴 강은 압록강이다.",O,"길이 약 803km. 두만강은 521km.",지리
20,"독도는 일본 영토이다.",X,"독도는 대한민국 고유 영토 (행정구역상 경상북도 울릉군).",지리
21,"세계에서 가장 높은 산은 에베레스트이다.",O,"해발 8,848.86m. 네팔과 중국 국경에 위치.",지리
22,"세계에서 가장 큰 바다는 태평양이다.",O,"전체 해양 면적의 약 46%를 차지.",지리
23,"이집트의 피라미드는 중국에 있다.",X,"이집트 카이로 인근 기자에 위치.",지리
24,"아마존 강은 남아메리카에 있다.",O,"브라질·페루·콜롬비아 등을 가로지른다.",지리
25,"러시아는 세계에서 가장 면적이 큰 나라이다.",O,"약 1,710만 km² — 캐나다(998만)의 약 1.7배.",지리
26,"프랑스의 수도는 파리이다.",O,"센 강을 끼고 발달한 도시.",지리
27,"호주는 북반구에 있다.",X,"호주는 남반구에 위치 — 한국과 계절이 반대.",지리
28,"세계에서 가장 깊은 호수는 바이칼호이다.",O,"러시아에 위치, 최대 수심 1,642m.",지리
29,"사하라 사막은 아프리카에 있다.",O,"세계 최대의 더운 사막.",지리
30,"북극에는 펭귄이 산다.",X,"펭귄은 남극과 남반구에만 서식 — 북극에는 없다.",지리
31,"세종대왕은 한글을 창제했다.",O,"1443년 창제, 1446년 훈민정음 반포.",역사
32,"이순신 장군은 임진왜란 때 활약했다.",O,"1592~1598년 23전 23승의 전공.",역사
33,"고려는 조선보다 먼저 세워진 왕조이다.",O,"고려(918년) → 조선(1392년).",역사
34,"한국전쟁은 1950년에 발발했다.",O,"1950년 6월 25일 북한의 남침으로 시작.",역사
35,"광복절은 매년 8월 15일이다.",O,"1945년 일본 항복 = 한국 광복일.",역사
36,"3·1 운동은 1919년에 일어났다.",O,"1919년 3월 1일 독립선언서 발표.",역사
37,"제2차 세계대전은 1939년에 시작되었다.",O,"독일의 폴란드 침공이 발단.",역사
38,"콜럼버스는 1492년 아메리카 대륙에 도착했다.",O,"산타마리아호로 카리브해의 산살바도르 섬에 상륙.",역사
39,"진시황은 만리장성을 처음 쌓기 시작한 왕이다.",O,"기원전 221년 중국 통일 후 북방 흉노족 방어용.",역사
40,"신라는 통일신라 시대 이후 조선이 되었다.",X,"신라(BC57~AD935) → 고려(918~1392) → 조선(1392~1897). 신라 다음은 고려.",역사
41,"훈민정음은 영어 알파벳으로 적혀 있다.",X,"훈민정음은 한글로 적혀 있으며, 한자로 된 해설서가 함께 있다.",역사
42,"조선왕조실록은 유네스코 세계기록유산이다.",O,"1997년 등재.",역사
43,"안중근 의사는 이토 히로부미를 저격했다.",O,"1909년 10월 26일 하얼빈역에서.",역사
44,"단군 신화에서 단군은 곰의 아들이다.",O,"환웅과 곰에서 변한 웅녀의 아들.",역사
45,"미국 독립 선언은 1776년에 이루어졌다.",O,"7월 4일 — 미국 독립기념일.",역사
46,"피카소는 한국 출신 화가이다.",X,"피카소는 스페인 출신 — 1881년 말라가에서 출생.",문화
47,"베토벤은 독일 작곡가이다.",O,"1770년 본 출신, 9개의 교향곡과 32개의 피아노 소나타로 유명.",문화
48,"모나리자는 다 빈치의 작품이다.",O,"1503~1519년경 그려진 유화 — 현재 루브르 박물관 소장.",문화
49,"셰익스피어는 햄릿을 썼다.",O,"4대 비극(햄릿·맥베스·리어왕·오델로) 중 하나.",문화
50,"BTS는 한국의 7인조 보이그룹이다.",O,"2013년 데뷔 — RM·진·슈가·제이홉·지민·뷔·정국.",문화
51,"올림픽은 4년마다 열린다.",O,"하계·동계 각각 4년마다 — 2년 간격으로 번갈아 개최.",문화
52,"축구의 한 팀은 11명이다.",O,"필드 플레이어 10명 + 골키퍼 1명.",문화
53,"야구 한 팀은 10명이다.",X,"야구는 한 팀 9명 — 투수·포수·1·2·3루수·유격수·좌·중·우익수.",문화
54,"테니스에서 0점을 'love'라고 부른다.",O,"점수: love(0)·15·30·40·deuce·advantage.",문화
55,"태권도는 한국에서 유래된 무술이다.",O,"올림픽 정식 종목 (2000년 시드니부터).",문화
56,"마라톤의 거리는 정확히 42.195km이다.",O,"1908년 런던 올림픽에서 확정.",문화
57,"호랑이는 한국의 국기 동물이다.",X,"한국의 국기는 태극기 — '국기 동물'이라는 공식 개념은 없다. 한국을 상징하는 동물로는 호랑이가 자주 쓰임.",문화
58,"커피는 한국에서 처음 발견된 음료이다.",X,"커피는 에티오피아에서 기원 — 9세기경 양치기 칼디 전설.",문화
59,"김치는 한국의 전통 발효 음식이다.",O,"2013년 김장 문화가 유네스코 인류무형문화유산 등재.",문화
60,"비빔밥은 일본의 전통 음식이다.",X,"비빔밥은 한국의 대표적 전통 음식 — 전주비빔밥이 유명.",문화
61,"한국의 화폐 단위는 원이다.",O,"₩ 기호 사용. 1962년부터 사용.",상식
62,"한국에서 운전석은 차의 왼쪽에 있다.",O,"한국·미국·중국 등 우측 통행 — 영국·일본·호주는 좌측 통행.",상식
63,"휴대폰은 1980년대에 처음 발명되었다.",O,"1973년 모토로라 첫 시제품 — 1983년 상용화.",상식
64,"인터넷은 21세기에 처음 등장했다.",X,"ARPANET이 1969년 시작 — 인터넷의 기원은 20세기.",상식
65,"이메일에서 @ 기호는 'at'으로 읽는다.",O,"한국에선 '골뱅이'라고도 부름.",상식
66,"한국의 비상 신고 번호는 119이다.",O,"화재·구급. 경찰은 112.",상식
67,"무지개는 빨주노초파남보 7색으로 분류한다.",O,"뉴턴이 7색으로 정함 (서양 음계 7음에 맞춤).",상식
68,"신호등의 빨간불은 가도 된다는 뜻이다.",X,"빨간불은 정지 — 초록불이 진행.",상식
69,"한국에서 만 19세부터 술을 마실 수 있다.",O,"청소년보호법 — 만 19세 미만 청소년에게 주류 판매 금지.",상식
70,"한국의 국화는 무궁화이다.",O,"공식 국화. 영문명 Rose of Sharon.",상식
71,"태극기에는 4괘가 그려져 있다.",O,"건(乾)·곤(坤)·감(坎)·이(離) — 하늘·땅·물·불.",상식
72,"고양이는 9개의 목숨을 가진 것으로 알려져 있다.",O,"서양 속설 — 실제로는 1개. 고양이의 민첩성에서 비롯된 표현.",상식
73,"개의 코는 사람보다 훨씬 민감하다.",O,"후각 수용체가 사람의 약 1만 배 — 마약·폭발물 탐지견 활용.",상식
74,"펭귄은 날 수 있는 새이다.",X,"펭귄은 날지 못하지만 수영을 매우 잘함 — 시속 35km까지 가능.",상식
75,"박쥐는 새가 아니라 포유류이다.",O,"유일하게 진정한 비행이 가능한 포유류.",상식
76,"카멜레온은 색깔을 바꿀 수 있다.",O,"환경뿐 아니라 감정·체온에 따라서도 변색.",상식
77,"낙타는 등에 물을 저장한다.",X,"낙타의 혹은 지방이 저장됨 — 물은 혈액과 조직에 분산 저장.",상식
78,"숫자 0은 인도에서 처음 사용되었다.",O,"5세기경 인도 수학자들이 정립 — 후에 아랍을 거쳐 유럽 전파.",상식
79,"1년은 정확히 365일이다.",X,"평년은 365일이지만 윤년은 366일 — 정확히는 365.2422일.",상식
80,"하루는 24시간이다.",O,"평균 태양일 기준 — 항성일은 약 23시간 56분.",상식
81,"1마일은 약 1.6km이다.",O,"정확히는 1마일 = 1.609344 km.",상식
82,"한국 지하철 1호선은 서울에 있다.",O,"1974년 개통 — 한국 최초의 지하철.",상식
83,"세계에서 가장 인구가 많은 나라는 인도이다.",O,"2023년 기준 약 14억 4천만 명으로 중국을 추월.",상식
84,"노벨상은 매년 시상된다.",O,"6개 분야 (물리학·화학·생리의학·문학·평화·경제학) 매년 12월 10일 시상.",상식
85,"태양계의 행성은 9개이다.",X,"명왕성이 2006년 왜소행성으로 재분류되어 현재는 8개 — 수금지화목토천해.",과학
86,"화성은 태양에서 두 번째로 가까운 행성이다.",X,"화성은 4번째 — 수성·금성·지구·화성·목성·토성·천왕성·해왕성 순서.",과학
87,"공기는 주로 산소로 이루어져 있다.",X,"공기의 약 78%는 질소 — 산소는 약 21%.",과학
88,"인간의 혈액형은 A·B·AB·O 네 가지로만 분류된다.",X,"ABO식 외에도 Rh식·MN식 등 30개 이상의 혈액형 분류 체계가 존재.",과학
89,"우주에는 소리가 들리지 않는다.",O,"진공 상태에서는 소리가 전달될 매질이 없어 들리지 않음.",과학
90,"빅뱅 이론은 우주의 기원을 설명한다.",O,"약 138억 년 전 폭발적 팽창으로 우주가 시작됐다는 이론.",과학
91,"전기를 처음 발견한 사람은 에디슨이다.",X,"전기 자체는 자연 현상 — 에디슨은 백열전구를 실용화. '전기의 발견'은 다양한 인물 (벤자민 프랭클린·볼타 등).",과학
92,"라이트 형제는 비행기를 발명했다.",O,"1903년 12월 17일 미국 키티호크에서 첫 동력 비행.",과학
93,"한국은 OECD 회원국이다.",O,"1996년 가입 — 29번째 회원국.",상식
94,"UN의 본부는 뉴욕에 있다.",O,"미국 뉴욕 맨해튼 — 1952년부터 사용.",상식
95,"올림픽 오륜기의 색깔은 5가지이다.",O,"파랑·노랑·검정·녹색·빨강 — 5대륙 상징.",상식
96,"무지개는 비가 와야만 볼 수 있다.",X,"비뿐 아니라 폭포·분수 등 물방울이 있는 곳이면 볼 수 있다 (햇빛 + 물방울).",과학
97,"한국의 가장 남쪽 섬은 마라도이다.",O,"제주특별자치도 서귀포시 — 한반도 최남단.",지리
98,"세계 최초로 인쇄술을 발명한 나라는 한국이다.",O,"1377년 직지심체요절 (구텐베르크 1455년보다 78년 앞섬).",역사
99,"호두는 견과류이다.",O,"호두·아몬드·잣 등 모두 견과류.",상식
100,"바나나는 나무에서 자란다.",X,"바나나는 풀(초본식물) — 단단한 줄기처럼 보이는 부분은 잎이 겹친 '의가지'.",상식
101,"치타는 세계에서 가장 빠른 육상 동물이다.",O,"단거리 시속 약 110km까지 달림.",상식
102,"고래는 어류이다.",X,"고래는 포유류 — 새끼를 낳고 폐로 호흡.",상식
103,"피아노 건반은 흰 건반 52개 + 검은 건반 36개 = 총 88개이다.",O,"표준 피아노 88개 건반.",문화
104,"빨강과 파랑을 섞으면 보라색이 된다.",O,"색의 3원색(RGB) 또는 빛의 3원색에서 모두 성립.",과학
105,"수증기는 액체 상태이다.",X,"수증기는 기체 상태 — 액체는 '물', 고체는 '얼음'.",과학
106,"비행기는 새보다 빨리 날 수 있다.",O,"여객기 약 시속 900km — 가장 빠른 새 매도 시속 320km 정도.",상식
107,"우리나라 국기인 태극기는 흰 바탕에 그려진다.",O,"흰 바탕 + 가운데 태극 + 4귀퉁이 4괘.",상식
108,"한국의 가장 높은 빌딩은 롯데월드타워이다.",O,"높이 555m, 123층 (2017년 완공).",상식
109,"오징어는 다리가 8개이다.",X,"오징어는 다리 10개 (8개 짧은 발 + 2개 긴 촉수). 문어가 8개.",상식
110,"북극성은 항상 북쪽을 가리킨다.",O,"지구 자전축 거의 정북에 위치 — 항해의 기준이 되어 왔다.",과학
