id,question,answer,explanation
1,사람의 코는 평생 자란다,O,코뼈는 멈추지만 연골과 피부는 노화로 인해 평생 조금씩 늘어난다
2,바나나는 나무에서 열린다,X,바나나는 거대한 풀(초본)에서 열린다
3,달의 뒷면은 항상 어둡다,X,달은 자전하면서 햇빛을 양면으로 번갈아 받는다 — 단지 지구에서 보이지 않을 뿐
4,펭귄도 새다,O,날지는 못하지만 깃털·부리·알을 가진 명백한 조류다
5,토끼는 당근을 가장 좋아한다,X,당근은 당분이 많아 토끼에게 간식 수준이며 주식은 풀과 건초다
6,거북이의 등껍질은 척추와 갈비뼈와 연결되어 있다,O,등껍질은 골격의 일부라 분리할 수 없다
7,카멜레온은 주로 위장하기 위해 색을 바꾼다,X,주된 이유는 의사소통과 체온 조절이며 위장은 부수적이다
8,금붕어의 기억력은 3초밖에 안 된다,X,실험에서 몇 달 단위 기억이 확인됐다
9,박쥐는 새다,X,박쥐는 포유류이며 알이 아닌 새끼를 낳는다
10,고래는 물고기다,X,고래는 폐로 숨 쉬는 포유류다
11,사과 씨앗은 많이 먹어도 안전하다,X,씨앗에 미량의 시안화 화합물이 있어 다량 섭취 시 위험하다
12,식물학적으로 오이는 과일이다,O,씨앗을 품은 자방이 발달한 것이라 과일로 분류된다
13,식물학적으로 토마토는 과일이다,O,토마토 역시 자방이 발달한 열매라 과일이다
14,모든 별은 태양보다 크다,X,태양보다 작은 적색왜성 같은 별이 우주에 훨씬 많다
15,만리장성은 우주에서 맨눈으로 보인다,X,저궤도에서도 맨눈으로 식별하기 어렵다는 것이 우주비행사들의 공통 증언이다
16,남한에서 가장 높은 산은 한라산이다,O,한라산은 해발 1947m로 남한 최고봉이다
17,혀에는 맛을 인지하는 영역이 부위별로 따로 나뉘어 있다,X,혀의 맛 지도는 오래된 오해이며 모든 부위에서 5가지 맛을 모두 느낀다
18,거미는 곤충이다,X,곤충은 다리가 6개지만 거미는 8개로 거미강에 속한다
19,달팽이에게도 이빨이 있다,O,라둘라라는 기관에 수천 개의 미세한 이빨이 있다
20,사람은 흔히 말하는 5감보다 더 많은 감각을 가진다,O,평형 감각·고유 감각·온도 감각 등을 합치면 십수 개에 이른다
21,사람의 머리카락은 죽은 세포로 이루어져 있다,O,모낭은 살아있지만 자란 머리카락 자체는 각질화된 죽은 세포다
22,1년은 정확히 365일이다,X,실제로는 약 365.2422일이며 4년마다 하루를 더해 윤년으로 보정한다
23,한국의 국화는 무궁화다,O,법으로 정해진 것은 아니지만 관습적·상징적으로 국화로 인정된다
24,코끼리는 점프할 수 있다,X,체중 때문에 네 발이 동시에 땅에서 떨어지는 점프가 불가능하다
25,호랑이의 줄무늬는 털을 밀어도 피부에 그대로 남아 있다,O,멜라닌이 피부 자체에 분포해 있어 털을 밀어도 무늬가 보인다
26,펭귄에게도 무릎이 있다,O,깃털에 가려 보이지 않을 뿐 다리는 척추동물의 표준 골격을 가진다
27,사람의 위 점막은 며칠마다 새것으로 교체된다,O,위산으로부터 자기 자신을 보호하기 위해 점막세포가 빠르게 갱신된다
28,한글의 자모는 자음 14개와 모음 10개로 총 24개다,O,훈민정음 창제 후 정리되어 현대 한글은 24자모로 사용된다
29,우유에는 알코올이 전혀 들어 있지 않다,X,발효 과정에서 극미량의 알코올이 자연스럽게 생성될 수 있다
30,모든 문화권에서 무지개는 7가지 색으로 본다,X,7색은 뉴턴이 정한 분류일 뿐 문화권마다 5색·6색으로 보는 곳도 많다
